<doc id="edoc_wd_1751-12-22" attrs="word" year="1751" month="12" day="22" corpus="1">
<head id="hl1">
Aus	w49
Spanien	w50
<g/>
.
</head>
<head id="hl2">
Barcellona	w52
4	w53
<g/>
.
Nov	w55
<g/>
.
</head>
<p id="p4">
NAchdeme	w57
die	w58
hiesige	w59
Hamburgische	w60
Kauf=leute	w61
<g/>
=
die	w63
Gewißheit	w64
eingezogen	w65
<g/>
,
es	w67
be=harre	w68
<g/>
=
Jhro	w70
Majestät	w71
der	w72
König	w73
von	w74
Spanien	w75
dabey	w76
<g/>
,
daß	w78
das	w79
Decret	w80
wegen	w81
der	w82
Stadt	w83
Hamburg	w84
alle	w85
in	w86
die	w87
Erfüllung	w88
ge=setzet	w89
<g/>
=
werden	w91
<g/>
,
dieser	w93
Königl	w94
<g/>
.
Befehl	w96
auch	w97
durch	w98
den	w99
Marquis	w100
de	w101
la	w102
Eucenada	w103
ersten	w104
Mini=ster	w105
<g/>
=
deren	w107
ausländischen	w108
Sachen	w109
<g/>
,
an	w111
alle	w112
Gu=bernators	w113
<g/>
=
deren	w115
See	w116
<g/>
=
plätzen	w118
seye	w119
abgeschicket	w120
worden	w121
<g/>
;
So	w123
haben	w124
dieselbe	w125
angefangen	w126
sich	w127
zur	w128
Abreise	w129
aus	w130
hiesiger	w131
Stadt	w132
fertig	w133
zu	w134
ma=chen	w135
<g/>
=
<g/>
,
zu	w138
dem	w139
Ende	w140
haben	w141
dieselbe	w142
3	w143
<g/>
.
Eng=ländische	w145
<g/>
=
Transport	w147
<g/>
=
schiffe	w149
gemietet	w150
<g/>
,
um	w152
alle	w153
ihre	w154
Waaren	w155
und	w156
Meublen	w157
<g/>
,
welche	w159
sie	w160
hier	w161
nicht	w162
verkauffen	w163
können	w164
<g/>
,
auf	w166
denenselben	w167
an	w168
Bord	w169
und	w170
anders	w171
wohin	w172
zu	w173
bringen	w174
<g/>
.
Gestern	w176
wur=de	w177
<g/>
=
auf	w179
dem	w180
gewöhnlichen	w181
Platz	w182
dieser	w183
Stadt	w184
ein	w185
Befehl	w186
abgekündiget	w187
<g/>
,
in	w189
welchem	w190
Seine	w191
Majestät	w192
der	w193
König	w194
von	w195
Spanien	w196
jedermann	w197
Erlaubnus	w198
gibt	w199
<g/>
,
Kriegs	w201
<g/>
=
schiffe	w203
<g/>
,
Fregatten	w205
<g/>
,
Galeeren	w207
<g/>
,
und	w209
gewafnete	w210
Fahrzeuge	w211
gegen	w212
die	w213
Unterthanen	w214
des	w215
Königs	w216
von	w217
Marocco	w218
und	w219
gegen	w220
die	w221
Africanische	w222
See	w223
<g/>
=
rauber	w225
auszurüsten	w226
<g/>
,
und	w228
solten	w229
für	w230
einen	w231
jeden	w232
eingebrachten	w233
Bar=bar	w234
<g/>
=
15	w236
<g/>
.
Ducaten	w238
als	w239
ein	w240
Geschenke	w241
auf	w242
denen	w243
Canzleyen	w244
des	w245
Königs	w246
in	w247
denen	w248
See	w249
<g/>
=
plätzen	w251
<g/>
,
wo	w253
dergleichen	w254
See	w255
<g/>
=
rauber	w257
eingebracht	w258
wür=den	w259
<g/>
=
<g/>
,
bezahlet	w262
werden	w263
<g/>
.
Vorgestern	w265
seynd	w266
aus	w267
hiesigen	w268
Hafen	w269
auf	w270
einer	w271
Spanischen	w272
wol	w273
be=wafneten	w274
<g/>
=
Fregatte	w276
4	w277
<g/>
.
Engländische	w279
Jngenieur	w280
nach	w281
Corunna	w282
in	w283
die	w284
See	w285
geloffen	w286
<g/>
,
um	w288
