<doc id="edoc_wd_1777-08-02" attrs="word" year="1777" month="08" day="02" corpus="1">
<head id="hl1">
Konstantinopel	w47
<g/>
,
den	w49
3	w50
<g/>
.
Heum	w52
<g/>
.
</head>
<p id="p4">
Obschon	w54
hier	w55
alles	w56
ru=hig	w57
<g/>
=
<g/>
,
und	w60
von	w61
Zwi=stigkeiten	w62
<g/>
=
zwischen	w64
der	w65
Pforte	w66
und	w67
den	w68
Rus=sen	w69
<g/>
=
stille	w71
wird	w72
<g/>
,
so	w74
liegt	w75
doch	w76
der	w77
türkische	w78
Admiral	w79
<g/>
,
oder	w81
Kapitain	w82
Bassa	w83
in	w84
hiesigem	w85
Kanale	w86
mit	w87
seinen	w88
Schiffen	w89
annoch	w90
unbeweglich	w91
<g/>
,
und	w93
ist	w94
nicht	w95
zu	w96
erfahren	w97
<g/>
,
wohin	w99
die	w100
Absicht	w101
seiner	w102
Flotte	w103
gerichtet	w104
sey	w105
<g/>
.
</p>
<head id="hl2">
Madrid	w107
<g/>
,
den	w109
8	w110
<g/>
.
Heum	w112
<g/>
.
</head>
<p id="p5">
Jn	w114
wenigen	w115
Tagen	w116
geht	w117
der	w118
Hof	w119
nach	w120
St	w121
<g/>
.
Jldephons	w123
ab	w124
<g/>
.
Der	w126
König	w127
soll	w128
ge=sinnet	w129
<g/>
=
seyn	w131
<g/>
,
eine	w133
Reise	w134
durch	w135
die	w136
Provinz	w137
Estremadura	w138
bis	w139
an	w140
die	w141
portugiesischen	w142
Gränzen	w143
zu	w144
thun	w145
<g/>
,
welches	w147
dann	w148
Stof	w149
</p>
<p id="p6">
genug	w150
zu	w151
politischen	w152
Muthmassungen	w153
dar=bieten	w154
<g/>
=
würde	w156
<g/>
.
</p>
<p id="p7">
Noch	w158
immer	w159
wird	w160
die	w161
Festung	w162
Melilla	w163
von	w164
den	w165
Mohren	w166
eingeschlossen	w167
gehalten	w168
<g/>
.
Sie	w170
haben	w171
so	w172
gar	w173
einen	w174
förmlichen	w175
An=grif	w176
<g/>
=
gewagt	w178
<g/>
,
und	w180
mit	w181
schweren	w182
Geschütze	w183
Breche	w184
zu	w185
schießen	w186
getrachtet	w187
<g/>
.
Da	w189
man	w190
aber	w191
unserer	w192
Seits	w193
nicht	w194
unterläßt	w195
<g/>
,
die=sen	w197
<g/>
=
Platz	w199
mit	w200
Mannschaft	w201
<g/>
,
auch	w203
Mund	w204
<g/>
=
und	w206
Kriegsbedürfnissen	w207
reichlich	w208
zu	w209
ver=sehen	w210
<g/>
=
<g/>
,
so	w213
ist	w214
von	w215
ihrer	w216
Tollkühnheit	w217
we=nig	w218
<g/>
=
zu	w220
befürchten	w221
<g/>
.
</p>
<p id="p8">
Das	w223
hiesige	w224
Publikum	w225
ist	w226
durchgängig	w227
der	w228
Meinung	w229
<g/>
,
daß	w231
der	w232
Fried	w233
zwischen	w234
Spanien	w235
und	w236
Portugall	w237
bereits	w238
unter=zeichnet	w239
<g/>
=
sey	w241
<g/>
.
Die	w243
Bedingnisse	w244
sollen	w245
für	w246
die	w247
erstere	w248
Krone	w249
sehr	w250
vortheilhaft	w251
lauten	w252
<g/>
.
Jndessen	w254
weiß	w255
man	w256
noch	w257
nichts	w258
Gründ Gründliches	w259
<g/>
=
</p>
<p id="p9">
liches	w261
davon	w262
anzugeben	w263
<g/>
.
So	w265
viel	w266
ist	w267
ge=wiß	w268
<g/>
=
<g/>
,
daß	w271
D	w272
<g/>
.
Peter	w274
Zevallos	w275
<g/>
,
nachdem	w277
derselbe	w278
in	w279
der	w280
heil	w281
<g/>
.
Katharineninsel	w283
eine	w284
starke	w285
Besatzung	w286
hinterlassen	w287
<g/>
,
seine	w289
ganze	w290
Macht	w291
nach	w292
dem	w293
Rio	w294
grande	w295
gewendet	w296
habe	w297
<g/>
.
Zwey	w299
spanische	w300
Regimenter	w301
sind	w302
zu	w303
St	w304
<g/>
.
Domingo	w306
<g/>
,
drey	w308
anderer	w309
aber	w310
zu	w311
Havana	w312
angelangt	w313
<g/>
.
</p>
<p id="p10">
Briefe	w315
aus	w316
Lisabon	w317
versichern	w318
<g/>
,
daß	w320
ein	w321
von	w322
Rio	w323
di	w324
Janeiro	w325
abgegangenes	w326
Schiff	w327
dem	w328
dasigen	w329
Hofe	w330
die	w331
eigentliche	w332
Beschrei=bung	w333
<g/>
=
von	w335
dem	w336
Verlust	w337
der	w338
heil	w339
<g/>
.
Katha=rinenimsel	w341
<g/>
=
mitgebracht	w343
habe	w344
<g/>
.
Die	w346
auf	w347
Parole	w348
entlassene	w349
portugiesische	w350
Offiziers	w351
<g/>
,
so	w353
bald	w354
solche	w355
das	w356
Gebiet	w357
ihrer	w358
Königinn	w359
betreten	w360
