<doc id="edoc_wd_1776-06-01" attrs="word" year="1776" month="06" day="01" corpus="1">
<head id="hl1">
Lisabon	w39
den	w40
16	w41
<g/>
.
April	w43
<g/>
.
</head>
<p id="p4">
Zur	w45
größten	w46
Freude	w47
un=serer	w48
<g/>
=
Nation	w50
<g/>
,
gewinne	w52
die	w53
Besserung	w54
des	w55
Kö=nigs	w56
<g/>
=
täglich	w58
einen	w59
tröst=licher	w60
<g/>
=
Anschein	w62
<g/>
.
Se	w64
<g/>
.
Majestät	w66
sind	w67
bereits	w68
im	w69
Stande	w70
<g/>
,
die	w72
wichtigsten	w73
Ausfertigungen	w74
zu	w75
unterzeich=nen	w76
<g/>
=
<g/>
,
und	w79
am	w80
8	w81
<g/>
.
des	w83
künftigen	w84
Monats	w85
gedenken	w86
Höchstdieselbe	w87
mit	w88
dem	w89
ganzen	w90
Hofe	w91
nach	w92
Salvaterra	w93
abzugehen	w94
<g/>
.
</p>
<p id="p5">
Es	w96
sind	w97
gemessene	w98
Befehle	w99
ergangen	w100
<g/>
,
unsere	w102
Kriegsmacht	w103
in	w104
vollzähligen	w105
Stan Stande	w106
<g/>
=
</p>
<p id="p6">
de	w108
zu	w109
setzen	w110
<g/>
,
und	w112
alle	w113
Magazinen	w114
mit	w115
Kriegs	w116
<g/>
=
und	w118
Mundvorrath	w119
anzufüllen	w120
<g/>
.
Man	w122
scheint	w123
gegenwärtig	w124
keine	w125
andere	w126
Absicht	w127
dabey	w128
zu	w129
haben	w130
<g/>
,
als	w132
um	w133
alle	w134
Be=sitzungen	w135
<g/>
=
dieses	w137
Königreichs	w138
vor	w139
allen	w140
feindseligen	w141
Anfällen	w142
nachdrücklichst	w143
ver=theidigen	w144
<g/>
=
zu	w146
können	w147
<g/>
.
</p>
<head id="hl2">
Portsmouth	w149
den	w150
12	w151
<g/>
.
May	w153
<g/>
.
</head>
<p id="p7">
Mit	w155
einem	w156
Expressen	w157
aus	w158
Jrland	w159
hat	w160
man	w161
zu	w162
vernehmen	w163
<g/>
,
daß	w165
zu	w166
Belfast	w167
ein	w168
Schif	w169
<g/>
,
Hannah	w171
genannt	w172
<g/>
,
geführt	w174
von	w175
dem	w176
Kapitaine	w177
Naghten	w178
<g/>
,
aus	w180
New	w181
<g/>
=
