<doc id="edoc_wd_1768-02-27" attrs="word" year="1768" month="02" day="27" corpus="1">
<head id="hl1">
Londen	w35
den	w36
10	w37
<g/>
.
Hornung	w39
<g/>
.
</head>
<p id="p4">
Endlich	w41
hat	w42
der	w43
Graf	w44
von	w45
Chatam	w46
<g/>
,
der	w48
vorhin	w49
unter	w50
dem	w51
Namen	w52
Pitt	w53
<g/>
,
dem	w55
Volke	w56
so	w57
beliebt	w58
war	w59
<g/>
,
das	w61
bis=her	w62
<g/>
=
geführte	w64
Staatsruder	w65
niedergelegt	w66
<g/>
,
und	w68
auch	w69
den	w70
so	w71
wichtigen	w72
und	w73
einträglichen	w74
Po=sto	w75
<g/>
=
<g/>
,
eines	w78
Lord	w79
Großsiegelbewahrers	w80
<g/>
,
<g/>
(
*	w83
<g/>
)
ab=getreten	w85
<g/>
=
<g/>
;
man	w88
will	w89
wissen	w90
<g/>
,
daß	w92
es	w93
nicht	w94
so=wohl	w95
<g/>
=
wegen	w97
seiner	w98
immer	w99
kränklichen	w100
Umstän=den	w101
<g/>
=
halber	w103
<g/>
,
als	w105
vielmehr	w106
deswegen	w107
geschehen	w108
<g/>
,
weil	w110
er	w111
wahrgenonnnen	w112
<g/>
,
daß	w114
er	w115
das	w116
alte	w117
Ver=trauen	w118
<g/>
=
bey	w120
dem	w121
Volke	w122
verlohren	w123
habe	w124
<g/>
.
</p>
<p id="p5">
Nun	w126
will	w127
er	w128
bey	w129
so	w130
bewandten	w131
Umständen	w132
sich	w133
nicht	w134
mehr	w135
in	w136
öffentliche	w137
Geschäfte	w138
mischen	w139
sondern	w140
die	w141
übrigen	w142
Tage	w143
seines	w144
Lebens	w145
vom	w146
Hofe	w147
entfernt	w148
in	w149
der	w150
Ruhe	w151
zubringen	w152
<g/>
.
Lord	w154
Weymouth	w155
<g/>
,
und	w157
der	w158
Graf	w159
von	w160
Hilsborough	w161
haben	w162
als	w163
neue	w164
Staatssecretairs	w165
den	w166
Eid	w167
der	w168
Treu	w169
abgelegt	w170
und	w171
werden	w172
dem	w173
erstern	w174
die	w175
Herren	w176
Roberth	w177
Wood	w178
<g/>
,
und	w180
William	w181
Fraser	w182
<g/>
,
als	w184
Hülfssecretairs	w185
zugegeben	w186
wer=den	w187
<g/>
=
<g/>
.
</p>
<p id="p6">
<g/>
(
*	w191
<g/>
)
oder	w193
Lordkanzler	w194
<g/>
,
auf	w196
engländisch	w197
<g/>
:
the	w199
Lord	w200
High	w201
Chancellcur	w202
<g/>
;
welches	w204
in	w205
England	w206
eines	w207
der	w208
vornehmsten	w209
Aemter	w210
ist	w211
<g/>
:
indeme	w213
derselbe	w214
<g/>
,
da	w216
itzt	w217
kein	w218
Lord	w219
High	w220
noch	w221
Steward	w222
vorhanvorhanDer	w223
<g/>
=
</p>
<p id="p7">
den	w226
ist	w227
<g/>
,
sogleich	w229
den	w230
Rang	w231
nach	w232
denen	w233
königl	w234
<g/>
.
Prinzen	w236
hat	w237
<g/>
,
wenn	w239
er	w240
auch	w241
nur	w242
ein	w243
schlechter	w244
Edel=mann	w245
<g/>
=
ist	w247
<g/>
.
Ehedem	w249
war	w250
niemand	w251
<g/>
,
als	w253
Geistliche	w254
<g/>
,
Bischöfe	w256
ꝛc	w257
<g/>
.
zu	w259
dieser	w260
Würde	w261
befördert	w262
<g/>
,
vor	w264
itzt	w265
aber	w266
erwählt	w267
der	w268
König	w269
meistentheils	w270
Ge=lehrte	w271
<g/>
=
und	w273
der	w274
Landesgesätze	w275
wohl	w276
erfahrne	w277
Männer	w278
dazu	w279
<g/>
,
die	w281
gemeiniglich	w282
nach	w283
einiger	w284
Zeit	w285
zu	w286
Peirs	w287
des	w288
Königreichs	w289
ernennt	w290
werden	w291
<g/>
.
Seine	w293
Ernennung	w294
und	w295
Einführung	w296
geschiehet	w297
dadurch	w298
<g/>
,
daß	w300
ihm	w301
der	w302
König	w303
nach	w304
abgelegten	w305
Eide	w306
<g/>
,
das	w308
große	w309
Siegel	w310
anvertraut	w311
<g/>
.
Er	w313
ist	w314
Oberaufseher	w315
der	w316
königl	w317
<g/>
.
Kanzley	w319
<g/>
,
unterzeich=net	w321
<g/>
=
auf	w323
königl	w324
<g/>
.
Befehl	w326
alle	w327
Verordnungen	w328
<g/>
,
und	w330
ist	w331
besonders	w332
dahin	w333
verpflichtet	w334
<g/>
,
die	w336
Rech=te	w337
<g/>
=
und	w339
Vorzüge	w340
der	w341
Krone	w342
bey	w343
Kräften	w344
zu	w345
er=halten	w346
<g/>
=
<g/>
.
Seine	w349
Einkünfte	w350
erstrecken	w351
sich	w352
auf	w353
10000	w354
<g/>
.
Pf	w356
<g/>
.
Strl	w358
<g/>
.
das	w360
ist	w361
jährlich	w362
ungefähr	w363
1	w364
<g/>
.
Ton=ne	w366
<g/>
=
Golds	w368
oder	w369
beynahe	w370
100000	w371
<g/>
.
fl	w373
<g/>
.
Er	w375
er=scheinet	w376
<g/>
=
jederzeit	w378
unter	w379
Vorhertragung	w380
eines	w381
Stabs	w382
<g/>
,
welcher	w384
ein	w385
Zeichen	w386
seiner	w387
Würde	w388
ist	w389
<g/>
,
vergiebt	w391
alle	w392
geistliche	w393
Pfründen	w394
<g/>
,
und	w396
empfängt	w397
den	w398
Titel	w399
Your	w400
Grace	w401
<g/>
,
<g/>
(
Jhro	w404
Gnaden	w405
<g/>
.
<g/>
)
</p>
<p id="p8">
Der	w408
Ritter	w409
George	w410
Mac	w411
Cartney	w412
<g/>
,
der	w414
zum	w415
Gesandten	w416
nach	w417
Petersburg	w418
ernennet	w419
ist	w420
<g/>
,
hat	w422
sich	w423
den	w424
6	w425
<g/>
.
dieses	w427
mit	w428
der	w429
zweyten	w430
Toch=ter	w431
<g/>
=
des	w433
Grafens	w434
von	w435
Bute	w436
vermählt	w437
<g/>
,
und	w439
soll	w440
zu	w441
einem	w442
Lord	w443
von	w444
Jrland	w445
erhoben	w446
wer=den	w447
<g/>
=
<g/>
,
ehe	w450
er	w451
seine	w452
Reise	w453
antritt	w454
<g/>
.
Der	w456
Her=zog	w457
<g/>
=
von	w459
Cumberland	w460
ist	w461
entschlossen	w462
<g/>
,
sich	w464
dem	w465
Seedienste	w466
zu	w467
widmen	w468
und	w469
dadurch	w470
die	w471
Stelle	w472
seines	w473
verstorbenen	w474
Herrn	w475
Bru=ders	w476
<g/>
=
<g/>
,
des	w479
Herzogs	w480
von	w481
York	w482
zu	w483
ersetzen	w484
<g/>
,
zu	w486
welchem	w487
Ende	w488
er	w489
mit	w490
ehestem	w491
auf	w492
die	w493
Flotte	w494
in	w495
der	w496
mittelländischen	w497
See	w498
abgehen	w499
wird	w500
<g/>
,
diese	w502
Dienste	w503
zu	w504
versuchen	w505
<g/>
,
und	w507
durch	w508
die	w509
Grade	w510
zur	w511
Admiralsstelle	w512
zu	w513
gelangen	w514
<g/>
.
Admiral	w516
Knowles	w517
ist	w518
zum	w519
Admiral	w520
der	w521
wei=ßen	w522
<g/>
=
ßen	w524
Flage	w525
<g/>
,
an	w527
die	w528
Stelle	w529
des	w530
Admirals	w531
Hawke	w532
<g/>
,
gleichwie	w534
dieser	w535
zum	w536
Admiral	w537
en	w538
Chef	w539
über	w540
die	w541
britische	w542
Flotte	w543
<g/>
:
an	w545
die	w546
Stelle	w547
des	w548
verstorbenen	w549
Admirals	w550
Rowley	w551
<g/>
,
ernannt	w553
worden	w554
<g/>
.
Die	w556
Fregatte	w557
Montreal	w558
<g/>
,
welche	w560
den	w561
Körper	w562
des	w563
Herzogs	w564
von	w565
York	w566
nach	w567
England	w568
gebracht	w569
<g/>
,
wird	w571
zu	w572
Chatham	w573
aus=gerüstet	w574
<g/>
=
<g/>
,
und	w577
soll	w578
wieder	w579
nach	w580
dem	w581
mittel=ländischen	w582
<g/>
=
Meer	w584
segeln	w585
<g/>
;
vermuthlich	w587
wird	w588
der	w589
Herzog	w590
von	w591
Cumberland	w592
damit	w593
abge=hen	w594
<g/>
=
<g/>
.
</p>
<p id="p9">
Mit	w597
dem	w598
Heyrathsgesetze	w599
sollen	w600
<g/>
,
wie	w602
man	w603
vernimmt	w604
<g/>
,
einige	w606
Veränderungen	w607
vorgenom=men	w608
<g/>
=
werden	w610
<g/>
.
Es	w612
ward	w613
im	w614
Jahr	w615
1754	w616
<g/>
.
gemacht	w618
<g/>
,
und	w620
seitdem	w621
hat	w622
man	w623
verspürt	w624
<g/>
,
</p>
<p id="p10">
daß	w626
es	w627
der	w628
Vermehrung	w629
der	w630
Einwohner	w631
schädlich	w632
ist	w633
<g/>
.
Nach	w635
demselben	w636
darf	w637
sich	w638
nie=mand	w639
<g/>
=
unter	w641
21	w642
<g/>
.
Jahr	w644
ohne	w645
Bewilligung	w646
der	w647
Aeltern	w648
und	w649
Vormünder	w650
verheirathen	w651
<g/>
;
es	w653
sollen	w654
dergleichen	w655
Heyrathen	w656
annulliret	w657
<g/>
,
und	w659
der	w660
GetsilicheGeistliche	w661
<g/>
,
der	w663
sie	w664
vollzogen	w665
<g/>
,
soll	w667
trans=portirt	w668
<g/>
=
werden	w670
<g/>
.
Allein	w672
<g/>
,
die	w674
Reichen	w675
gehen	w676
nach	w677
Schottland	w678
<g/>
,
und	w680
lassen	w681
sich	w682
<g/>
,
weil	w684
die	w685
dortigen	w686
Geistlichen	w687
diesem	w688
Gesetze	w689
nicht	w690
un=terworfen	w691
<g/>
=
sind	w693
<g/>
,
daselbst	w695
copuliren	w696
<g/>
.
Dieser	w698
Umstand	w699
veranlasset	w700
<g/>
,
daß	w702
man	w703
eine	w704
Verän=derung	w705
<g/>
=
in	w707
der	w708
Acte	w709
vornehmen	w710
wird	w711
<g/>
.
</p>
<p id="p11">
Jn	w713
Ansehung	w714
der	w715
Parlementswahl	w716
<g/>
,
soll	w718
gelichfallsgleichfalls	w719
eine	w720
Veränderung	w721
gemacht	w722
wer=den	w723
<g/>
=
<g/>
,
um	w726
den	w727
dabey	w728
gewöhnlichen	w729
Bestechun=gen	w730
<g/>
=
vorzubeugen	w732
<g/>
,
wozu	w734
ein	w735
Brief	w736
<g/>
,
den	w738
der	w739
Major	w740
von	w741
Oxfort	w742
an	w743
ein	w744
gewisses	w745
Parle=mentsglied	w746
<g/>
=
dieser	w748
Grafschaft	w749
geschrieben	w750
<g/>
,
An=laß	w752
<g/>
=
giebt	w754
<g/>
.
Er	w756
verspricht	w757
in	w758
selbigem	w759
<g/>
,
ihm	w761
für	w762
7500	w763
<g/>
.
Pf	w765
<g/>
.
Strl	w767
<g/>
.
die	w769
meisten	w770
Stimmen	w771
zur	w772
künftigen	w773
Wahl	w774
zu	w775
verschaffen	w776
<g/>
.
Allein	w778
<g/>
,
die	w780
Antwort	w781
darauf	w782
war	w783
<g/>
:
Jch	w785
will	w786
euch	w787
nicht	w788
kaufen	w789
<g/>
,
da	w791
ich	w792
niemals	w793
im	w794
Sinne	w795
ge=habt	w796
<g/>
=
habe	w798
<g/>
,
euch	w800
zu	w801
verkaufen	w802
<g/>
.
Der	w804
Brief	w805
ist	w806
dem	w807
Parlemente	w808
vorgelegt	w809
worden	w810
<g/>
,
und	w812
man	w813
sieht	w814
hieraus	w815
<g/>
,
daß	w817
das	w818
engländische	w819
Volk	w820
zwar	w821
das	w822
Wort	w823
Freyheit	w824
beständig	w825
im	w826
Munde	w827
führt	w828
<g/>
,
aber	w830
gleichwohl	w831
sehr	w832
geneigt	w833
ist	w834
<g/>
,
seine	w836
Freyheit	w837
für	w838
einen	w839
schnöden	w840
Ge=winn	w841
<g/>
=
zu	w843
verkaufen	w844
<g/>
.
</p>
<p id="p12">
Nun	w846
haben	w847
auch	w848
die	w849
Einwohner	w850
der	w851
Pro=vinz	w852
<g/>
=
Georgien	w854
den	w855
Beschluß	w856
genommen	w857
<g/>
,
nach	w859
dem	w860
Exempel	w861
der	w862
Neuyorker	w863
<g/>
,
und	w865
Neuenglän=der	w866
<g/>
=
alle	w868
mögliche	w869
