<doc id="edoc_wd_1792-03-10" attrs="word" year="1792" month="03" day="10" corpus="1">
<head id="hl1">
Jnländische	w25
Begebenheiten	w26
<g/>
.
</head>
<head id="hl2">
Wien	w28
<g/>
.
</head>
<p id="p6">
Dieser	w30
Tagen	w31
ist	w32
nachstehendes	w33
Patent	w34
erschienen	w35
<g/>
:
</p>
<p id="p7">
Wir	w37
Leopold	w38
der	w39
Zweyte	w40
ꝛc	w41
<g/>
.
ꝛc	w43
<g/>
.
</p>
<p id="p8">
Um	w45
unseren	w46
deutscherbländischen	w47
Gerichten	w48
eine	w49
bestimmte	w50
Richtschnur	w51
zu	w52
geben	w53
<g/>
,
nach	w55
welcher	w56
sie	w57
bey	w58
der	w59
Abhandlung	w60
von	w61
Ver=lassenschaften	w62
<g/>
=
ungarischer	w64
<g/>
,
siebenbürgischer	w66
oder	w67
illyrischer	w68
<g/>
,
in	w70
Unsern	w71
deutschen	w72
Erb=ländern	w73
<g/>
=
verstorbener	w75
Unterthanen	w76
<g/>
,
vorzuge=hen	w78
<g/>
=
haben	w80
<g/>
,
damit	w82
den	w83
Gläubigern	w84
und	w85
Er=ben	w86
<g/>
=
einer	w88
Seits	w89
die	w90
Wohlthat	w91
der	w92
öffentli=chen	w93
<g/>
=
Vorsorge	w95
zu	w96
Statten	w97
komme	w98
<g/>
,
und	w100
von	w101
der	w102
andern	w103
Seite	w104
allen	w105
Jrrungen	w106
und	w107
ge=rechten	w108
<g/>
=
Beschwerden	w110
vorgebeuget	w111
werde	w112
<g/>
,
ge=ben	w114
<g/>
=
Wir	w116
Unsern	w117
sämmtlichen	w118
deutscherblän=dischen	w119
<g/>
=
Gerichten	w121
nachstehende	w122
Vorschrift	w123
zur	w124
allgemeinen	w125
und	w126
genauen	w127
Befolgung	w128
<g/>
.
</p>
<p id="p9">
§	w130
<g/>
.
1	w132
<g/>
.
Wenn	w134
in	w135
einem	w136
deutschen	w137
Erblan=de	w138
<g/>
=
ein	w140
ungarischer	w141
<g/>
,
siebenbürgischer	w143
oder	w144
il illyrischer	w145
<g/>
=
</p>
<p id="p10">
lyrischer	w147
Unterthan	w148
stirbt	w149
<g/>
,
welcher	w151
entweder	w152
in	w153
landesfürstl	w154
<g/>
.
Diensten	w156
gestanden	w157
ist	w158
<g/>
,
oder	w160
als	w161
Hofagent	w162
bey	w163
der	w164
ungarischen	w165
<g/>
,
sieben=bürgischen	w167
<g/>
=
oder	w169
illyrischen	w170
Hofkanzley	w171
al=lein	w172
<g/>
=
<g/>
,
und	w175
nicht	w176
auch	w177
bey	w178
einer	w179
andern	w180
deutsch=erbländischen	w181
<g/>
=
Stelle	w183
in	w184
gleicher	w185
Eigenschaft	w186
gedienet	w187
hat	w188
<g/>
,
oder	w190
ein	w191
beglaubigter	w192
Ge=schäftsträger	w193
<g/>
=
von	w195
den	w196
der	w197
augsburgischen	w198
oder	w199
helvetischen	w200
Konfeßion	w201
oder	w202
der	w203
griechi=schen	w204
<g/>
=
Kirche	w206
ergebenen	w207
Unterthanen	w208
besagter	w209
Provinzen	w210
ist	w211
<g/>
,
oder	w213
welcher	w214
in	w215
Ungarn	w216
<g/>
,
Siebenbürgen	w218
oder	w219
an	w220
der	w221
illyrischen	w222
Grän=ze	w223
<g/>
=
ansäßig	w225
war	w226
<g/>
,
oder	w228
endlich	w229
<g/>
,
welcher	w231
in	w232
keinem	w233
deutschen	w234
Erblande	w235
<g/>
,
weder	w237
durch	w238
ausdrückliche	w239
Erklärung	w240
noch	w241
durch	w242
Ansied=lung	w243
<g/>
=
<g/>
,
Ansäßigkeit	w246
oder	w247
ununterbrochenen	w248
zehnjährigen	w249
Aufenthalt	w250
einheimisch	w251
<g/>
(
natio=nalisirt	w253
<g/>
=
<g/>
)
geworden	w256
ist	w257
<g/>
,
hat	w259
die	w260
deutscherb=ländische	w261
<g/>
=
Abhandlungsbehörde	w263
sich	w264
in	w265
Rück=sicht	w266
<g/>
=
auf	w268
dessen	w269
in	w270
dem	w271
deutschen	w272
Erblande	w273
</p>
<p id="p11">
zurückgelassenes	w275
bewegliches	w276
Vermögen	w277
nicht	w278
weiter	w279
in	w280
die	w281
