<doc id="edoc_wd_1779-05-22" attrs="word" year="1779" month="05" day="22" corpus="1">
<head id="hl1">
Paris	w6
<g/>
,
den	w8
6	w9
<g/>
.
May	w11
<g/>
.
</head>
<p id="p2">
Diese	w13
Stadt	w14
scheint	w15
in	w16
ei=nen	w17
<g/>
=
Meerhaven	w19
ver=wandelt	w20
<g/>
=
worden	w22
zu	w23
seyn	w24
<g/>
:
man	w26
bauet	w27
an	w28
dem	w29
Gestade	w30
der	w31
Seine	w32
die	w33
Korsarenfregatte	w34
<g/>
,
die	w36
Pariserinn	w37
ge=nannt	w38
<g/>
=
<g/>
,
welche	w41
beyläufig	w42
70	w43
Schuhe	w44
lang	w45
seyn	w46
<g/>
,
und	w48
20	w49
Kanonen	w50
<g/>
,
nebst	w52
150	w53
Mann	w54
Besatzung	w55
führen	w56
wird	w57
<g/>
.
Sie	w59
wird	w60
dem=nächst	w61
<g/>
=
in	w63
den	w64
Haven	w65
kommen	w66
<g/>
,
woraus	w68
sie	w69
auslaufen	w70
soll	w71
<g/>
.
</p>
<p id="p3">
Der	w73
König	w74
wird	w75
den	w76
7	w77
<g/>
.
dieses	w79
die	w80
ge=wöhnliche	w81
<g/>
=
Musterung	w83
der	w84
französisch	w85
<g/>
=
und	w87
schweizerischen	w88
Garden	w89
in	w90
der	w91
Ebene	w92
von	w93
Sablons	w94
vornehmen	w95
<g/>
,
und	w97
<g/>
,
was	w99
das	w100
son=derbarste	w101
<g/>
=
ist	w103
<g/>
,
so	w105
wird	w106
im	w107
künftigen	w108
Heu=mon	w109
<g/>
=
<g/>
.
auch	w112
die	w113
königl	w114
<g/>
.
Hausreiterey	w116
ge	w117
<g/>
=
</p>
<p id="p4">
mustert	w119
werden	w120
<g/>
,
obwohl	w122
dieses	w123
sonst	w124
nur	w125
alle	w126
4	w127
Jahre	w128
gewöhnlich	w129
war	w130
<g/>
.
</p>
<p id="p5">
Der	w132
König	w133
hat	w134
die	w135
größte	w136
Achtung	w137
für	w138
die	w139
politische	w140
Jahrgeschichte	w141
des	w142
Herrn	w143
Linquet	w144
<g/>
,
und	w146
leset	w147
solche	w148
so	w149
pünktlich	w150
<g/>
,
daß	w152
er	w153
<g/>
,
sobald	w155
ihm	w156
ein	w157
Stück	w158
zu	w159
lange	w160
ausbleibt	w161
<g/>
,
sogleich	w163
mit	w164
vieler	w165
Unruhe	w166
fraget	w167
<g/>
:
Wann	w169
werde	w170
ich	w171
denn	w172
mein	w173
Journal	w174
erhalten	w175
<g/>
?
Auch	w177
die	w178
kön	w179
<g/>
.
Fa=mille	w181
<g/>
=
beehrt	w183
dieses	w184
Werk	w185
mit	w186
dero	w187
schätz=baren	w188
<g/>
=
Aufmerksamkeit	w190
<g/>
.
<g/>
—
Vor	w193
etwelchen	w194
Monaten	w195
wollten	w196
mächtige	w197
Feinde	w198
dieses	w199
so	w200
lobenswürdigen	w201
Authors	w202
<g/>
,
seine	w204
perio=dischen	w205
<g/>
=
Werke	w207
in	w208
Frankreich	w209
unterdrü=cken	w210
<g/>
=
<g/>
,
und	w213
wurde	w214
zu	w215
diesem	w216
Ziel	w217
und	w218
Ende	w219
der	w220
Herr	w221
Lequesne	w222
zu	w223
einer	w224
an=sehnlichen	w225
<g/>
=
Gerichtsperson	w227
beruffen	w228
<g/>
,
wel=che	w230
<g/>
=
ihm	w232
befahl	w233
<g/>
,
allen	w235
Subscribenten	w236
auf	w237
dies	w238
Werk	w239
ihr	w240
Geld	w241
zurückzuzahlen	w242
<g/>
,
al	w244
<g/>
=
</p>
<p id="p6">
lein	w246
dieser	w247
versetzte	w248
<g/>
:
Mein	w250
Herr	w251
<g/>
!
es	w253
scheint	w254
außer	w255
allem	w256
Zweifel	w257
zu	w258
seyn	w259
<g/>
,
daß	w261
ihnen	w262
die	w263
Namen	w264
so	w265
mancher	w266
Subscribenten	w267
un=bekannt	w268
<g/>
=
sind	w270
<g/>
,
worauf	w272
er	w273
ihm	w274
sogleich	w275
be=wies	w276
<g/>
=
<g/>
,
daß	w279
der	w280
König	w281
und	w282
die	w283
Königinn	w284
auf	w285
20	w286
Stücke	w287
<g/>
,
so	w289
wie	w290
auch	w291
Monsieur	w292
<g/>
,
und	w294
der	w295
Graf	w296
d'Artois	w297
<g/>
,
nebst	w299
andern	w300
Grossen	w301
<g/>
,
sich	w303
unterschrieben	w304
haben	w305
<g/>
;
der	w307
Herr	w308
Linquet	w309
hat	w310
<g/>
,
nachdem	w312
er	w313
von	w314
dem	w315
ihm	w316
drohenden	w317
Ungewitter	w318
Nachricht	w319
er=halten	w320
<g/>
=
<g/>
,
sich	w323
sogleich	w324
nach	w325
Frankreich	w326
be=geben	w327
<g/>
=
<g/>
;
man	w330
