<doc id="edoc_wd_1776-12-18" attrs="word" year="1776" month="12" day="18" corpus="1">
<head id="hl1">
Madrid	w38
den	w39
19	w40
<g/>
.
Wintermon	w42
<g/>
.
</head>
<p id="p4">
Der	w44
König	w45
hat	w46
den	w47
Mon=signor	w48
<g/>
=
Johann	w50
Diaz	w51
<g/>
,
Bischof	w53
zu	w54
Siguenza	w55
<g/>
,
zum	w57
einträglichen	w58
Bistum	w59
von	w60
Majorka	w61
ernannt	w62
<g/>
.
</p>
<p id="p5">
Der	w64
Kommissar	w65
des	w66
Seewesens	w67
zu	w68
Bilbao	w69
<g/>
,
welcher	w71
jüngst	w72
erwähntermassen	w73
den	w74
Amerikanischen	w75
Kaper	w76
eigenmächtig	w77
anhalten	w78
lassen	w79
<g/>
,
hat	w81
einen	w82
scharfen	w83
Ver Verweis	w84
<g/>
=
</p>
<p id="p6">
weis	w86
<g/>
,
nebst	w88
dem	w89
Auftrag	w90
von	w91
Hofe	w92
be=kommen	w93
<g/>
=
<g/>
,
diesem	w96
Freybeuter	w97
vielmehr	w98
mit	w99
allen	w100
nöthigen	w101
Hilfsmitteln	w102
zu	w103
willfah=ren	w104
<g/>
=
<g/>
.
</p>
<p id="p7">
Man	w107
bemerkt	w108
daß	w109
die	w110
Provinzialisten	w111
in	w112
ihrer	w113
Flagge	w114
ein	w115
rothes	w116
Feld	w117
mit	w118
13	w119
Zwerchstreisfen	w120
führen	w121
<g/>
,
welche	w123
die	w124
Ver=bindung	w125
<g/>
=
der	w127
13	w128
Kolonien	w129
unter	w130
sich	w131
vor=stellen	w132
<g/>
=
<g/>
.
</p>
<p id="p8">
Der	w135
Herzog	w136
von	w137
Alba	w138
<g/>
,
der	w140
reicheste	w141
Herr	w142
in	w143
ganz	w144
Spanien	w145
ist	w146
mit	w147
Tode	w148
ab=gegangen	w149
<g/>
=
<g/>
,
und	w152
hat	w153
seiner	w154
Frau	w155
Schwe=ster	w156
<g/>
=
<g/>
,
der	w159
Herzoginn	w160
von	w161
Medina	w162
Sido=nia	w163
<g/>
=
seinen	w165
Wohnungspallast	w166
mit	w167
allen	w168
</p>
<p id="p9">
kostbaren	w169
Einrichtungen	w170
<g/>
,
und	w172
dabey	w173
noch	w174
100	w175
tausend	w176
Golddublonen	w177
hinterlassen	w178
<g/>
.
Seine	w180
Universalerbin	w181
ist	w182
die	w183
Marchesinn	w184
von	w185
Villa	w186
Franca	w187
<g/>
,
einzige	w189
Tochter	w190
sei=nes	w191
<g/>
=
Sohnes	w193
<g/>
,
des	w195
Herzogs	w196
von	w197
Huescar	w198
<g/>
.
Gleichfalls	w200
ist	w201
D	w202
<g/>
.
Gometz	w204
<g/>
,
Corregidor	w206
oder	w207
Oberpoliceyrichter	w208
des	w209
Hofes	w210
<g/>
,
und	w212
der	w213
Stadt	w214
verstorben	w215
<g/>
.
</p>
<p id="p10">
Die	w217
Bittschrift	w218
<g/>
,
welche	w220
der	w221
Herr	w222
Mar=ches	w223
<g/>
=
Grimaldi	w225
dem	w226
Könige	w227
eingereicht	w228
hatte	w229
<g/>
,
lautet	w231
also	w232
<g/>
:
</p>
<p id="p11">
Allergnädigster	w234
Herr	w235
<g/>
!
</p>
<p id="p12">
Grimaldi	w237
wirft	w238
sich	w239
zu	w240
Eurer	w241
Majestät	w242
Füssen	w243
<g/>
,
und	w245
stellt	w246
unterthänigst	w247
vor	w248
<g/>
,
daß	w250
er	w251
bereits	w252
über	w253
50	w254
Jahre	w255
lang	w256
der	w257
Spa=nischen	w258
<g/>
=
Monarchie	w260
treueifrigst	w261
gedient	w262
ha=be	w263
<g/>
=
<g/>
,
daß	w266
<g/>
,
als	w268
er	w269
von	w270
zweyen	w271
Dero	w272
glor=würdigsten	w273
<g/>
=
Vorfahrern	w275
<g/>
,
und	w277
von	w278
Eurer	w279
Majestät	w280
selbst	w281
in	w282
der	w283
Eigenschaft	w284
eines	w285
Bothschafters	w286
zu	w287
höchstwichtigen	w288
Angele=genheiten	w289
<g/>
=
gebraucht	w291
worden	w292
<g/>
,
er	w294
sich	w295
un=ermüdet	w296
<g/>
=
angelegen	w298
seyn	w299
lassen	w300
<g/>
,
seine	w302
Pflicht	w303
mit	w304
dem	w305
möglichsten	w306
Eifer	w307
<g/>
,
und	w309
der	w310
größten	w311
Uneigennützigkeit	w312
zu	w313
erfüllen	w314
<g/>
,
und	w316
die	w317
Zu=friedenheit	w318
<g/>
=
<g/>
,
seiner	w321
Monarchen	w322
zu	w323
ver=dienen	w324
<g/>
=
<g/>
,
daß	w327
er	w328
endlich	w329
seit	w330
dem	w331
Jahre	w332
1763	w333
die	w334
vorzügliche	w335
Gnade	w336
genossen	w337
<g/>
,
Eu=rer	w339
<g/>
=
Majestät	w341
sich	w342
täglich	w343
nähern	w344
zu	w345
därfen	w346
<g/>
,
und	w348
unschätzbaren	w349
Kennzeichen	w350
dero	w351
Wohl=wollenes	w352
<g/>
=
zu	w354
genießen	w355
<g/>
.
Bisher	w357
hat	w358
er	w359
alle	w360
seine	w361
Kräfte	w362
darangestreckt	w363
<g/>
,
um	w365
die	w366
schwere	w367
Würde	w368
seiner	w369
gegenwärtigen	w370
Ministerschaft	w371
zu	w372
tragen	w373
<g/>
.
Weil	w375
ihm	w376
aber	w377
sein	w378
67jähriges	w379
Alter	w380
<g/>
,
und	w382
seine	w383
abnehmende	w384
Gesundheit	w385
ihm	w386
zu	w387
erkennen	w388
geben	w389
<g/>
,
daß	w391
er	w392
seiner	w393
Amtsverwaltung	w394
nicht	w395
länger	w396
nach	w397
Ge=bühr	w398
<g/>
=
vorstehen	w400
könne	w401
<g/>
,
so	w403
erlaubt	w404
ihm	w405
seine	w406
Rechtschaffenheit	w407
nicht	w408
<g/>
,
daß	w410
er	w411
Eurer	w412
Ma=jestät	w413
<g/>
=
Staatsgeschäfte	w415
durch	w416
längere	w417
Bey=behaltung	w418
<g/>
=
seiner	w420
Stelle	w421
einigen	w422
Abbruch	w423
leiden	w424
lasse	w425
<g/>
.
Er	w427
stellt	w428
also	w429
Eurer	w430
Majestät	w431
abermal	w432
die	w433
Unmöglichkeit	w434
vor	w435
<g/>
,
in	w437
wel=cher	w438
<g/>
=
er	w440
sich	w441
befindet	w442
<g/>
,
sein	w444
Amt	w445
<g/>
,
so	w447
wie	w448
es	w449
die	w450
itzigen	w451
Umstände	w452
erfodern	w453
<g/>
,
tüch=tig	w455
<g/>
=
zu	w457
verwalten	w458
<g/>
,
und	w460
ruft	w461
daher	w462
von	w463
der	w464
tiefsten	w465
Ehrfurcht	w466
<g/>
,
und	w468
der	w469
lebhaftesten	w470
Erkenntlichkeit	w471
durchdrungen	w472
<g/>
,
Höchstdero	w474
angebohrner	w475
Milde	w476
dahin	w477
an	w478
<g/>
,
daß	w480
ihm	w481
gestattet	w482
werden	w483
möge	w484
<g/>
,
sich	w486
seiner	w487
aufha aufhabenden	w488
<g/>
=
</p>
<p id="p13">
benden	w490
Verrichtungen	w491
zu	w492
entschlagen	w493
<g/>
,
und	w495
künftighin	w496
sich	w497
nur	w498
mit	w499
eifrigen	w500
Gebeth	w501
um	w502
Erhaltung	w503
Eurer	w504
