<doc id="edoc_wd_1777-06-07" attrs="word" year="1777" month="06" day="07" corpus="1">
<head id="hl1">
Madrid	w42
<g/>
,
den	w44
8	w45
<g/>
.
May	w47
<g/>
.
</head>
<p id="p4">
Jndessen	w49
<g/>
,
da	w51
alle	w52
spa=nischen	w53
<g/>
=
Unterthanen	w55
den	w56
Allmächtigen	w57
um	w58
die	w59
glückliche	w60
Entbin=dung	w61
<g/>
=
der	w63
Prinzeßinn	w64
von	w65
Asturien	w66
anflehen	w67
<g/>
,
hat	w69
Madame	w70
von	w71
Vallabriga	w72
<g/>
,
die	w74
Gemahlinn	w75
des	w76
Jnfan=ten	w77
<g/>
=
D	w79
<g/>
.
Ludwigs	w81
<g/>
,
glücklich	w83
einen	w84
Sohn	w85
zur	w86
Welt	w87
gebohren	w88
<g/>
.
</p>
<p id="p5">
Aus	w90
Portugall	w91
erhalten	w92
wir	w93
folgende	w94
Nachrichten	w95
<g/>
.
Einige	w97
<g/>
,
die	w99
man	w100
des	w101
Hoch=verraths	w102
<g/>
=
schuldig	w104
gehalten	w105
hatte	w106
<g/>
,
recht=fertigen	w108
<g/>
=
sich	w110
bereits	w111
auf	w112
die	w113
unlaugbarste	w114
Art	w115
<g/>
.
Unter	w117
diese	w118
Zahl	w119
gehören	w120
die	w121
Her=ren	w122
<g/>
=
Enserrabodos	w124
und	w125
Bomjardin	w126
<g/>
.
Der	w128
Marches	w129
von	w130
Gouvra	w131
<g/>
,
ein	w133
Sohn	w134
des	w135
</p>
<p id="p6">
unglücklichen	w136
Herzogs	w137
von	w138
Aveiro	w139
<g/>
,
geht	w141
in	w142
ein	w143
Benediktinerkloster	w144
<g/>
.
Der	w146
junge	w147
nunmehr	w148
in	w149
Freyheit	w150
gesetzte	w151
Sohn	w152
des	w153
Marchesen	w154
von	w155
Tavora	w156
erwecket	w157
das	w158
Mitleid	w159
aller	w160
Menschenfreunde	w161
<g/>
.
Er	w163
war	w164
noch	w165
nicht	w166
vollständig	w167
5	w168
Jahre	w169
alt	w170
<g/>
,
als	w172
der	w173
mit	w174
dem	w175
Uiberreste	w176
seiner	w177
Angehörigen	w178
in	w179
den	w180
Kerker	w181
wandern	w182
mußte	w183
<g/>
.
Da	w185
er	w186
niemand	w187
als	w188
seinen	w189
stummen	w190
Wächter	w191
ge=sehen	w192
<g/>
=
hatte	w194
<g/>
,
so	w196
versteht	w197
er	w198
auch	w199
gar	w200
keine	w201
Sprache	w202
<g/>
.
Am	w204
20	w205
<g/>
.
May	w207
ist	w208
der	w209
schon	w210
be=meldte	w211
<g/>
=
Bischof	w213
von	w214
Beja	w215
nach	w216
seinem	w217
Kirchensprengel	w218
abgereiset	w219
<g/>
.
Auch	w221
jene	w222
Kaufleute	w223
<g/>
,
welche	w225
unter	w226
der	w227
vorigen	w228
Re=gierung	w229
<g/>
=
wegen	w231
getriebner	w232
Handlung	w233
mit	w234
rohen	w235
Diamanten	w236
ins	w237
Gefängnis	w238
gewor=fen	w239
<g/>
=
worden	w241
<g/>
,
sind	w243
nun	w244
in	w245
Freyheit	w246
ge=setzt	w247
<g/>
=
<g/>
,
und	w250
ihnen	w251
alle	w252
abgenommene	w253
Gü Güter	w254
<g/>
=
</p>
<p id="p7">
ter	w256
zurück	w257
gegeben	w258
worden	w259
<g/>
.
Auf	w261
Befehl	w262
der	w263
Königinn	w264
werden	w265
alle	w266
neue	w267
Kerker	w268
<g/>
,
so	w270
der	w271
Exminister	w272
Pombal	w273
hatte	w274
zurich=ten	w275
<g/>
=
lassen	w277
<g/>
,
zur	w279
Erde	w280
geschleifet	w281
<g/>
,
da=mit	w283
<g/>
=
diese	w285
verhaßten	w286
Denkmäler	w287
der	w288
ab=scheulichsten	w289
<g/>
=
Tyranney	w291
nicht	w292
länger	w293
das	w294
Aug	w295
der	w296
Menschheit	w297
beleidigen	w298
<g/>
.
</p>
<p id="p8">
Die	w300
Königinn	w301
wollte	w302
den	w303
Exjesuiten	w304
<g/>
,
Timotheus	w306
de	w307
Oliviera	w308
<g/>
,
der	w310
vor	w311
dem	w312
be=kannten	w313
<g/>
=
Unglücke	w315
<g/>
,
so	w317
die	w318
Mitglieder	w319
sei=nes	w320
<g/>
=
Jnstituts	w322
in	w323
Portugall	w324
betroffen	w325
<g/>
,
ihr	w327
Beichtvater	w328
gewesen	w329
<g/>
,
gleich	w331
nach	w332
seiner	w333
Befreyung	w334
sehen	w335
<g/>
.
Die	w337
ganze	w338
Zärtlich=keit	w339
<g/>
=
ihrer	w341
erhabnen	w342
Seele	w343
ward	w344
durch	w345
den	w346
Anblick	w347
dieses	w348
ehrwürdigen	w349
Priesters	w350
rege	w351
gemacht	w352
<g/>
.
Sie	w354
unterhielt	w355
