"Löschen","G","GG","GGG","GGGS","A","AA","AAA","AAAS","Stichwort_A","Ausgabe","Nummer","Seite","ID","Coder"
false,1,1,1,,3,4,9,,,1756-01-07 00:00:00.000,2,11,1000110,MF
false,1,1,1,,3,4,9,,,1756-01-14 00:00:00.000,4,1,1000174,MF
false,1,1,1,,3,4,9,,,1757-01-01 00:00:00.000,1,1,1001088,MF
false,1,1,1,,3,4,9,,,1757-02-02 00:00:00.000,10,1,1001532,mf
false,1,1,1,,3,4,9,,,1759-04-07 00:00:00.000,28,5,5001646,mf
false,1,1,1,,3,4,9,,Attentat auf den König,1759-02-03 00:00:00.000,10,12,3004594,bh
false,1,1,1,,3,4,9,,Attentat auf den König,1759-02-14 00:00:00.000,13,9,3004821,bh
false,1,1,1,,3,4,9,,Attentat auf den König,1759-02-24 00:00:00.000,16,5,5001066,mf
false,1,1,1,,3,4,9,,Attentat auf den König,1759-02-28 00:00:00.000,17,2,5001169,mf
false,1,1,1,,3,4,9,,Attentat auf den König,1759-03-10 00:00:00.000,20,4,5001374,mf
false,1,1,1,,3,4,9,,"Aufhebung des ""Beschlags"" auf alle in Portugal liegende Schiffe",1759-02-14 00:00:00.000,13,9,3004823,bh
false,1,1,1,,3,4,9,,Entflohene Sträflinge,1761-05-16 00:00:00.000,39,3,3010692,hjh
false,1,1,1,,3,4,9,,Ft.transport von Staatsgefangenen,1759-02-14 00:00:00.000,13,6,3004814,bh
false,1,1,1,,3,4,9,,Gefangenenflucht,1761-05-13 00:00:00.000,38,2,3010621,hjh
false,1,1,1,,3,4,9,,Hinrichtung der Königsattentäter (ausführlich),1759-02-24 00:00:00.000,16,4,5001065,mf
false,1,1,1,,3,4,9,,Hinrichtung der Königsattentäter in Lissabon,1759-03-21 00:00:00.000,23,2,5001457,mf
false,1,1,1,,3,4,9,,Welle der Plünderungen,1757-05-07 00:00:00.000,37,2,1002729,mf
false,1,1,2,,3,4,9,M,Befehlsverweigerung,1759-08-11 00:00:00.000,64,5,2007008,jb
false,1,1,2,,3,4,9,,"Über Korsar ""Cavallo Bianco""",1761-06-13 00:00:00.000,47,3,3011812,hjh
false,1,1,3,,3,4,9,,,1756-03-10 00:00:00.000,20,2,1000877,MF
false,1,1,3,,3,4,9,,,1758-03-18 00:00:00.000,22,2,3004491,hjh
false,1,1,3,,3,4,9,,,1760-10-18 00:00:00.000,84,3,2007614,HJH
false,1,1,3,,3,4,9,,,1760-12-17 00:00:00.000,101,4,2508176,HJH
false,1,1,3,,3,4,9,,,1762-03-17 00:00:00.000,22,3,4000445,mf
false,1,1,3,,3,4,9,,Attentat auf den König,1757-01-15 00:00:00.000,5,5,1001302,mf
false,1,1,3,,3,4,9,,Attentat auf den König,1757-01-19 00:00:00.000,6,6,1001364,mf
false,1,1,3,,3,4,9,,Attentat auf den König,1757-01-22 00:00:00.000,7,4,1001429,mf
false,1,1,3,,3,4,9,,Attentat auf den König,1757-01-29 00:00:00.000,9,2,1001504,mf
false,1,1,3,,3,4,9,,Attentat auf den König,1757-02-02 00:00:00.000,10,2,1001539,mf
false,1,1,3,,3,4,9,,Attentat auf den König,1757-02-05 00:00:00.000,11,2,1001570,mf
false,1,1,3,,3,4,9,,Attentat auf den König,1757-02-12 00:00:00.000,13,2,1001649,mf
false,1,1,3,,3,4,9,,Attentat auf den König,1757-02-19 00:00:00.000,15,2,1001751,mf
false,1,1,3,,3,4,9,,Attentat auf den König,1757-04-09 00:00:00.000,29,2,1002335,mf
false,1,1,3,,3,4,9,,Falscher Anschlag auf den König,1762-03-17 00:00:00.000,22,2,4000438,mf
false,1,1,3,,3,4,9,,"Finanzier wg. ""Malversation"" gefangengenommen",1758-06-28 00:00:00.000,51,3,3007873,hjh
false,1,1,3,,3,4,9,,Fluchtversuch aus Gefängnis,1757-02-26 00:00:00.000,17,2,1001827,mf
false,1,1,3,,3,4,9,,Frau in Männerkleidung aus Gefängnis entwischt - wieder eingefangen,1761-12-23 00:00:00.000,102,2,2006713,ek
false,1,1,3,,3,4,9,,Prozess wg. Landesverrat,1756-10-02 00:00:00.000,79,3,3001635,BH
false,1,1,3,,3,4,9,,Räuberbande überfällt Schloß Naumburg,1760-05-10 00:00:00.000,38,4,2507925,EK
false,1,1,3,,3,4,9,,Überführung von 'Staatsgefangenen' in die Bastille,1758-07-29 00:00:00.000,60,3,2001288,ek
false,1,1,3,,3,4,9,,Verhaftung von verdächtigen Fremden in Brest,1759-11-24 00:00:00.000,94,5,3010959,tc
false,1,1,4,,3,4,9,,,1756-01-28 00:00:00.000,8,3,1000376,MF
false,1,1,4,,3,4,9,,Falschmünzerei,1758-02-15 00:00:00.000,13,4,3003691,hjh
false,1,1,5,,3,4,9,,,1756-05-01 00:00:00.000,35,4,3000545,hjh
false,1,1,5,,3,4,9,,Plünderer d. frz. Fregatte Felicite,1761-06-17 00:00:00.000,48,4,3011891,hjh
false,1,2,1,,3,4,9,,Bankiers gebrandmarkt,1758-06-07 00:00:00.000,45,3,3007202,hjh
